rec_id,timestamp,camera_id,gh_idx,label,confidence,track_id,x_min,y_min,x_max,y_max,file_path
61,20250829_01.2421.710444,cam_001,74,담배가루이,0.6462323665618896,25,0.40234375,0.22395833333333334,0.48828125,0.3385416666666667,
62,20250829_01.2421.848937,cam_001,74,담배가루이,0.7514414191246033,26,0.3984375,0.22135416666666666,0.48046875,0.3346354166666667,
63,20250829_01.2421.991230,cam_001,74,담배가루이,0.4208742678165436,27,0.396484375,0.22135416666666666,0.482421875,0.3359375,
64,20250829_01.2422.137785,cam_001,74,담배가루이,0.3251666724681854,28,0.3828125,0.22005208333333334,0.484375,0.3385416666666667,
65,20250829_01.2422.268811,cam_001,74,담배가루이,0.3067835569381714,29,0.39453125,0.22005208333333334,0.48046875,0.3385416666666667,
66,20250829_01.2422.408421,cam_001,74,담배가루이,0.30179959535598755,30,0.380859375,0.22005208333333334,0.4765625,0.3359375,
67,20250829_01.2422.682755,cam_001,74,담배가루이,0.3239007592201233,31,0.39453125,0.21614583333333334,0.4765625,0.3346354166666667,
68,20250829_01.2422.818684,cam_001,74,담배가루이,0.5222386121749878,32,0.392578125,0.21614583333333334,0.48046875,0.3359375,
69,20250829_01.2422.956753,cam_001,74,담배가루이,0.5989605188369751,33,0.40234375,0.21484375,0.474609375,0.3307291666666667,
70,20250829_01.2423.090307,cam_001,74,담배가루이,0.42792633175849915,34,0.408203125,0.21484375,0.48046875,0.3229166666666667,
71,20250829_01.2423.416853,cam_001,74,담배가루이,0.4343598484992981,35,0.3828125,0.21354166666666666,0.474609375,0.3229166666666667,
72,20250829_01.2423.556997,cam_001,74,담배가루이,0.6123616695404053,36,0.40234375,0.21354166666666666,0.4765625,0.3294270833333333,
73,20250829_01.2423.689209,cam_001,74,담배가루이,0.6307688355445862,37,0.40625,0.2109375,0.486328125,0.3255208333333333,
74,20250829_01.2423.824399,cam_001,74,담배가루이,0.5600365996360779,38,0.4140625,0.20963541666666666,0.478515625,0.3177083333333333,
75,20250829_01.2423.963030,cam_001,74,담배가루이,0.3608260154724121,39,0.421875,0.20442708333333334,0.501953125,0.3098958333333333,
76,20250829_01.2424.096081,cam_001,74,담배가루이,0.2524418830871582,40,0.42578125,0.20442708333333334,0.5,0.3177083333333333,
77,20250829_01.2850.983981,cam_001,74,담배가루이,0.336173951625824,1,0.50390625,0.013020833333333334,0.578125,0.06770833333333333,
78,20250829_01.2855.459545,cam_001,74,담배가루이,0.2922104001045227,2,0.3203125,0.12239583333333333,0.39453125,0.1640625,
